Name,Email,Age,Country,Education Level,Number of Languages Spoken,Gender,Satisfaction Rate,Marital Status,Number of Children
Caitlin King,caitlin.king@yahoo.com,23,Canada,Master's Degree,3,Female,7,Single,1
Dane Patel,dane_patel@hotmail.com,20,India,Master's Degree,4,Male,2,Divorced,0
Violeta Gonzalez,violeta_gonzalez@gmail.com,37,Mexico,High School,1,Female,7,Married,2
Tristin Scott,tristin.scott@yahoo.com,61,United States,Master's Degree,4,Male,4,Single,1
Aubree Davis,aubree_davis@hotmail.com,29,Australia,Bachelor's Degree,1,Female,8,Married,3
Lennon Martinez,lennon_martinez@gmail.com,57,Mexico,Master's Degree,4,Male,1,Single,0
Aryan Thompson,aryan_thompson@yahoo.com,61,United States,Master's Degree,2,Male,8,Divorced,1
Soren Wilson,soren_wilson@hotmail.com,55,Canada,Bachelor's Degree,1,Male,6,Married,2
Braelyn Hernandez,braelyn.hernandez@gmail.com,61,Mexico,High School,2,Female,9,Married,4
Zion Rodriguez,zion_rodriguez@yahoo.com,50,Mexico,Doctorate,4,Male,4,Single,0
Edgar Johnson,edgar.johnson@hotmail.com,52,United States,Master's Degree,3,Male,8,Married,3
Lana Taylor,lana.taylor@gmail.com,47,Canada,Master's Degree,1,Female,5,Single,2
Braden Perez,braden_perez@yahoo.com,60,Mexico,Bachelor's Degree,2,Male,2,Married,4
Jaida Smith,jaida_smith@hotmail.com,21,United States,High School,1,Female,8,Divorced,1
Jovanny Davis,jovanny.davis@gmail.com,43,Australia,High School,4,Male,4,Married,0
Eliana Brown,eliana_brown@yahoo.com,61,United States,Bachelor's Degree,1,Female,10,Single,2
Kasey Gonzalez,kasey.gonzalez@hotmail.com,30,Mexico,Doctorate,2,Female,6,Married,1
Hanna Anderson,hanna.anderson@gmail.com,24,Canada,High School,1,Female,7,Married,4
Carmelo Martinez,carmelo.martinez@yahoo.com,58,Mexico,Master's Degree,4,Male,7,Single,0
Luz White,luz.white@hotmail.com,34,United States,Master's Degree,3,Female,3,Divorced,3
Cannon Scott,cannon_scott@gmail.com,56,Canada,High School,4,Male,1,Married,1
Maisie Adams,maisie.adams@yahoo.com,22,Australia,Doctorate,4,Female,9,Single,2
Jasper Lee,jasper.lee@hotmail.com,25,United States,Master's Degree,1,Male,3,Married,2
Zoie Wilson,zoie.wilson@gmail.com,61,United Kingdom,Bachelor's Degree,2,Female,6,Divorced,1
Maren Hernandez,maren_hernandez@yahoo.com,29,Mexico,High School,3,Female,7,Single,0
Braylen Thompson,braylen_thompson@hotmail.com,20,Australia,Master's Degree,3,Male,1,Married,3
Karlee Rodriguez,karlee_rodriguez@gmail.com,41,Mexico,High School,1,Female,8,Married,2
Sergio Perez,sergio_perez@yahoo.com,36,Mexico,Bachelor's Degree,3,Male,5,Divorced,4
Layton Davis,layton.davis@hotmail.com,42,Canada,High School,1,Male,4,Married,1
Savanah Johnson,savanah.johnson@gmail.com,50,United States,Doctorate,2,Female,9,Single,1
Jaidyn King,jaidyn_king@yahoo.com,37,Canada,Bachelor's Degree,2,Female,10,Married,4
Lyla Taylor,lyla.taylor@hotmail.com,46,United Kingdom,High School,1,Female,7,Single,0
Avery Gonzalez,avery.gonzalez@gmail.com,20,Mexico,Doctorate,1,Female,2,Married,3
Kamryn Scott,kamryn.scott@yahoo.com,31,Australia,Master's Degree,3,Female,7,Single,0
Azariah Brown,azariah_brown@hotmail.com,57,United States,Bachelor's Degree,2,Male,10,Married,2
Jaxson Martinez,jaxson.martinez@gmail.com,26,Mexico,Master's Degree,1,Male,6,Divorced,1
Raven White,raven.white@yahoo.com,48,Canada,Doctorate,3,Female,3,Married,4
Jocelyn Adams,jocelyn_adams@hotmail.com,35,Australia,High School,3,Female,1,Single,0
Kylan Lee,kylan_lee@gmail.com,50,United States,Master's Degree,2,Male,5,Married,1
Lennon Wilson,lennon_wilson@yahoo.com,25,Canada,Doctorate,3,Male,9,Divorced,2
Macy Hernandez,macy.hernandez@hotmail.com,39,Mexico,Bachelor's Degree,1,Female,4,Married,3
Jordy Thompson,jordy_thompson@gmail.com,30,United States,High School,1,Male,3,Single,0
Lena Rodriguez,lena.rodriguez@yahoo.com,51,Mexico,Bachelor's Degree,4,Female,6,Married,4
Gael Perez,gael_perez@hotmail.com,22,Mexico,Doctorate,3,Male,5,Divorced,1
Ryann Davis,ryann.davis@gmail.com,24,Canada,Bachelor's Degree,1,Female,10,Single,0
Lara Johnson,lara.johnson@yahoo.com,54,United States,Master's Degree,3,Female,3,Married,2
Paislee King,paislee_king@hotmail.com,61,United Kingdom,High School,1,Female,4,Single,1
Kole Scott,kole_scott@gmail.com,61,Australia,Bachelor's Degree,4,Male,8,Married,3
Alaia Taylor,alaia_taylor@yahoo.com,23,United States,Doctorate,2,Female,2,Married,4
