,Name,Email,Age,Country,Education Level,Number of Languages Spoken,Gender,Satisfaction Rate,Marital Status,Number of Children
68,Jaidyn King,jaidyn_king@yahoo.com,37,Canada,Bachelor's Degree,2,Female,10,Married,4
69,Lyla Taylor,lyla.taylor@hotmail.com,46,United Kingdom,High School,1,Female,7,Single,0
70,Avery Gonzalez,avery.gonzalez@gmail.com,20,Mexico,Doctorate,1,Female,2,Married,3
71,Kamryn Scott,kamryn.scott@yahoo.com,31,Australia,Master's Degree,3,Female,7,Single,0
72,Azariah Brown,azariah_brown@hotmail.com,57,United States,Bachelor's Degree,2,Male,10,Married,2
73,Jaxson Martinez,jaxson.martinez@gmail.com,26,Mexico,Master's Degree,1,Male,6,Divorced,1
74,Raven White,raven.white@yahoo.com,48,Canada,Doctorate,3,Female,3,Married,4
75,Jocelyn Adams,jocelyn_adams@hotmail.com,35,Australia,High School,3,Female,1,Single,0
76,Kylan Lee,kylan_lee@gmail.com,50,United States,Master's Degree,2,Male,5,Married,1
77,Lennon Wilson,lennon_wilson@yahoo.com,25,Canada,Doctorate,3,Male,9,Divorced,2
78,Macy Hernandez,macy.hernandez@hotmail.com,39,Mexico,Bachelor's Degree,1,Female,4,Married,3
79,Jordy Thompson,jordy_thompson@gmail.com,30,United States,High School,1,Male,3,Single,0
80,Lena Rodriguez,lena.rodriguez@yahoo.com,51,Mexico,Bachelor's Degree,4,Female,6,Married,4
81,Gael Perez,gael_perez@hotmail.com,22,Mexico,Doctorate,3,Male,5,Divorced,1
82,Ryann Davis,ryann.davis@gmail.com,24,Canada,Bachelor's Degree,1,Female,10,Single,0
83,Lara Johnson,lara.johnson@yahoo.com,54,United States,Master's Degree,3,Female,3,Married,2
84,Paislee King,paislee_king@hotmail.com,61,United Kingdom,High School,1,Female,4,Single,1
85,Kole Scott,kole_scott@gmail.com,61,Australia,Bachelor's Degree,4,Male,8,Married,3
86,Alaia Taylor,alaia_taylor@yahoo.com,23,United States,Doctorate,2,Female,2,Married,4
